         5315333 function calls (5109638 primitive calls) in 8.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.692    0.016    0.698    0.017 compiler.py:240(backend_compile)
   3996/0    0.308    0.000    0.000          pjit.py:1734(_pjit_call_impl)
   512142    0.269    0.000    0.381    0.000 config.py:293(value)
     30/5    0.231    0.008    0.064    0.013 mlir.py:1032(lower_jaxpr_to_module)
   568437    0.190    0.000    0.222    0.000 {built-in method builtins.isinstance}
    22508    0.179    0.000    0.432    0.000 core.py:1831(__init__)
   4163/0    0.169    0.000    0.000          dispatch.py:83(apply_primitive)
   595731    0.161    0.000    0.187    0.000 {method 'get' of 'dict' objects}
    22508    0.144    0.000    0.638    0.000 abstract_arrays.py:49(canonical_concrete_aval)
       42    0.132    0.003    0.177    0.004 mlir.py:592(make_ir_context)
   1996/0    0.125    0.000    0.000          pjit.py:2115(_pjit_partial_eval)
    18721    0.124    0.000    0.363    0.000 config.py:194(trace_context)
    44/40    0.106    0.002    0.304    0.008 {built-in method _imp.create_dynamic}
      438    0.097    0.000    0.097    0.000 {built-in method marshal.loads}
  14494/0    0.088    0.000    0.000          core.py:440(bind_with_trace)
51583/974    0.086    0.000    0.058    0.000 {jaxlib.utils.safe_map}
     49/5    0.081    0.002    0.130    0.026 mlir.py:1867(lower_per_platform)
     38/5    0.079    0.002    0.063    0.013 _func_ops_gen.py:249(__init__)
    41409    0.077    0.000    0.122    0.000 core.py:1701(canonicalize_shape)
116902/114030    0.077    0.000    0.127    0.000 {built-in method builtins.getattr}
    503/0    0.071    0.000    0.000          ad.py:172(backward_pass)
97834/73871    0.068    0.000    0.585    0.000 {built-in method builtins.next}
2108/2091    0.066    0.000    0.410    0.000 pjit.py:742(_infer_params)
    18337    0.065    0.000    0.140    0.000 config.py:903(update_thread_local_jit_state)
    40151    0.061    0.000    0.277    0.000 core.py:1753(__init__)
   1996/0    0.060    0.000    0.000          pjit.py:2062(_pjit_jvp)
    12086    0.059    0.000    0.199    0.000 dtypes.py:688(dtype)
     8112    0.055    0.000    0.116    0.000 core.py:2684(subst_axis_names)
   1996/0    0.055    0.000    0.000          pjit.py:2288(_pjit_transpose)
    33282    0.054    0.000    0.077    0.000 dtypes.py:344(issubdtype)
    25912    0.053    0.000    0.189    0.000 core.py:533(full_raise)
    32443    0.053    0.000    0.064    0.000 contextlib.py:108(__init__)
    54362    0.052    0.000    0.100    0.000 dtypes.py:254(canonicalize_dtype)
41176/41096    0.052    0.000    0.055    0.000 {built-in method __new__ of type object at 0x59e1d6c06bc0}
  1766/25    0.049    0.000    0.027    0.001 ufunc_api.py:170(__call__)
    32000    0.049    0.000    0.082    0.000 pjit.py:2131(keep_where)
    76843    0.048    0.000    0.048    0.000 {jaxlib.utils.safe_zip}
    14561    0.046    0.000    0.158    0.000 core.py:1380(find_top_trace)
    40151    0.044    0.000    0.060    0.000 core.py:1612(_dtype_object)
   8256/0    0.040    0.000    0.000          core.py:942(process_primitive)
    44/42    0.039    0.001    0.046    0.001 {built-in method _imp.exec_dynamic}
    22635    0.039    0.000    0.711    0.000 core.py:1515(concrete_aval)
  3775/31    0.038    0.000    0.036    0.001 array_methods.py:568(deferring_binary_op)
    15065    0.037    0.000    0.067    0.000 core.py:997(with_cur_sublevel)
    32443    0.035    0.000    0.099    0.000 contextlib.py:303(helper)
     3004    0.035    0.000    0.064    0.000 partial_eval.py:787(new_eqn_recipe)
     6050    0.035    0.000    0.099    0.000 xla_metadata.py:33(set_xla_metadata)
32440/23273    0.034    0.000    0.237    0.000 contextlib.py:145(__exit__)
    25100    0.033    0.000    0.063    0.000 {built-in method builtins.max}
   2880/0    0.031    0.000    0.000          lax.py:525(_convert_element_type)
   8063/0    0.030    0.000    0.000          core.py:2775(bind)
     6050    0.030    0.000    0.080    0.000 compute_on.py:29(extend_compute_type)
   3000/0    0.029    0.000    0.000          ad.py:296(process_primitive)
   2071/0    0.029    0.000    0.000          pjit.py:178(_python_pjit_helper)
      504    0.028    0.000    0.185    0.000 partial_eval.py:825(tracers_to_jaxpr)
    18437    0.028    0.000    0.076    0.000 __init__.py:457(_replace)
     7250    0.027    0.000    0.028    0.000 tree_util.py:74(tree_flatten)
    485/0    0.026    0.000    0.000          {built-in method builtins.exec}
   3075/0    0.026    0.000    0.000          traceback_util.py:176(reraise_with_filtered_traceback)
   595/17    0.026    0.000    0.123    0.007 linear_util.py:179(call_wrapped)
     6050    0.026    0.000    0.389    0.000 core.py:276(manager)
     3494    0.025    0.000    0.032    0.000 source_info_util.py:226(current)
98127/96808    0.025    0.000    0.026    0.000 {built-in method builtins.len}
    750/2    0.025    0.000    0.003    0.002 array_methods.py:196(_flatten)
    16369    0.025    0.000    0.094    0.000 core.py:2102(raise_to_shaped)
32440/23273    0.025    0.000    0.309    0.000 contextlib.py:136(__enter__)
    55449    0.024    0.000    0.035    0.000 core.py:1682(_canonicalize_dimension)
      438    0.024    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:778(_compile_bytecode)
    76744    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
   2071/0    0.023    0.000    0.000          pjit.py:351(cache_miss)
22188/19188    0.023    0.000    0.629    0.000 core.py:1525(get_aval)
29233/28233    0.023    0.000    0.048    0.000 dtypes.py:669(is_weakly_typed)
      504    0.022    0.000    0.076    0.000 util.py:222(toposort)
     3025    0.022    0.000    0.156    0.000 contextlib.py:571(__exit__)
1294/1291    0.022    0.000    0.075    0.000 {built-in method builtins.__build_class__}
    12000    0.022    0.000    0.039    0.000 pjit.py:2291(prune_type)
4540/4512    0.022    0.000    0.125    0.000 util.py:298(wrapper)
    52678    0.021    0.000    0.021    0.000 array.py:252(dtype)
    14987    0.021    0.000    0.023    0.000 tree_util.py:82(tree_unflatten)
     8112    0.021    0.000    0.142    0.000 core.py:2679(used_axis_names)
    10163    0.019    0.000    0.025    0.000 util.py:125(split_list)
2081/2077    0.019    0.000    0.029    0.000 partial_eval.py:1398(_jaxpr_forwarding)
    16116    0.019    0.000    0.070    0.000 {built-in method builtins.all}
    499/0    0.018    0.000    0.000          api.py:447(value_and_grad_f)
     4081    0.018    0.000    0.021    0.000 partial_eval.py:1428(prune_closed_jaxpr_outputs)
     2000    0.018    0.000    0.066    0.000 ad.py:670(jvp_jaxpr)
    623/0    0.017    0.000    0.000          ensemble_of_forecasters.py:18(forecast_1step)
    29122    0.016    0.000    0.016    0.000 core.py:1277(pop_level)
    70000    0.016    0.000    0.016    0.000 pjit.py:2132(<genexpr>)
4528/4449    0.016    0.000    0.022    0.000 functools.py:1021(__get__)
     1004    0.016    0.000    0.152    0.000 partial_eval.py:214(default_process_primitive)
     7520    0.016    0.000    0.102    0.000 core.py:1794(to_tangent_aval)
    18115    0.015    0.000    0.031    0.000 core.py:1370(full_lower)
     23/0    0.015    0.001    0.000          _stablehlo_ops_gen.py:56(__init__)
    14262    0.015    0.000    0.025    0.000 {built-in method _abc._abc_instancecheck}
   3000/0    0.015    0.000    0.000          partial_eval.py:208(process_primitive)
35019/35004    0.015    0.000    0.059    0.000 {built-in method builtins.hasattr}
     2180    0.015    0.000    0.016    0.000 {built-in method posix.stat}
    11252    0.015    0.000    0.103    0.000 {built-in method builtins.any}
    24315    0.015    0.000    0.024    0.000 fromnumeric.py:2127(shape)
     8520    0.015    0.000    0.040    0.000 core.py:1881(primal_dtype_to_tangent_dtype)
     1142    0.014    0.000    0.062    0.000 utils.py:52(standard_abstract_eval)
    11527    0.014    0.000    0.031    0.000 partial_eval.py:109(__new__)
   207/42    0.014    0.000    0.014    0.000 compiler.py:75(_walk_operations)
     2000    0.014    0.000    0.050    0.000 partial_eval.py:1571(move_binders_to_front)
    12258    0.014    0.000    0.019    0.000 core.py:217(out_avals)
     4505    0.014    0.000    0.043    0.000 partial_eval.py:159(new_const)
    499/0    0.014    0.000    0.000          reductions.py:220(sum)
     7225    0.013    0.000    0.026    0.000 core.py:1781(__eq__)
    18437    0.013    0.000    0.048    0.000 __init__.py:447(_make)
     9515    0.013    0.000    0.022    0.000 partial_eval.py:586(__init__)
     5010    0.013    0.000    0.046    0.000 partial_eval.py:850(newvar)
     2000    0.013    0.000    0.058    0.000 partial_eval.py:947(partial_eval_jaxpr_nounits)
      548    0.013    0.000    0.077    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     4797    0.013    0.000    0.018    0.000 util.py:93(unzip2)
        3    0.013    0.004    0.016    0.005 _stablehlo_ops_gen.py:1887(__init__)
        3    0.013    0.004    0.013    0.004 _stablehlo_ops_gen.py:3731(__init__)
